timestamp,asset,price,position,peakPrice,trailLevel,equity,unrealizedPnL,realizedPnL,event,tradeReturn,cumFees
2026-04-07T08:00:00.000Z,ETH,2114.8400,LONG,2164.6500,1839.9525,10313.43,313.43,0.00,HOLD,,0.00
2026-04-07T09:00:00.000Z,BTC,69150.0500,LONG,69968.8700,59473.5395,10330.15,330.15,0.00,HOLD,,0.00
2026-04-07T09:00:00.000Z,ETH,2128.2600,LONG,2164.6500,1839.9525,10378.87,378.87,0.00,HOLD,,0.00
2026-04-07T10:00:00.000Z,BTC,68237.9300,LONG,69968.8700,59473.5395,10193.89,193.89,0.00,HOLD,,0.00
2026-04-07T10:00:00.000Z,ETH,2089.3200,LONG,2164.6500,1839.9525,10188.97,188.97,0.00,HOLD,,0.00
2026-04-07T11:00:00.000Z,BTC,68345.7500,LONG,69968.8700,59473.5395,10210.00,210.00,0.00,HOLD,,0.00
2026-04-07T11:00:00.000Z,ETH,2089.5800,LONG,2164.6500,1839.9525,10190.24,190.24,0.00,HOLD,,0.00
2026-04-07T12:00:00.000Z,BTC,68392.1800,LONG,69968.8700,59473.5395,10216.94,216.94,0.00,HOLD,,0.00
2026-04-07T12:00:00.000Z,ETH,2086.9900,LONG,2164.6500,1839.9525,10177.61,177.61,0.00,HOLD,,0.00
2026-04-07T13:00:00.000Z,BTC,68231.9900,LONG,69968.8700,59473.5395,10193.01,193.01,0.00,HOLD,,0.00
2026-04-07T13:00:00.000Z,ETH,2074.9700,LONG,2164.6500,1839.9525,10118.99,118.99,0.00,HOLD,,0.00
2026-04-07T14:00:00.000Z,BTC,67860.4800,LONG,69968.8700,59473.5395,10137.51,137.51,0.00,HOLD,,0.00
2026-04-07T14:00:00.000Z,ETH,2069.4400,LONG,2164.6500,1839.9525,10092.02,92.02,0.00,HOLD,,0.00
2026-04-07T15:00:00.000Z,BTC,68168.1000,LONG,69968.8700,59473.5395,10183.46,183.46,0.00,HOLD,,0.00
2026-04-07T15:00:00.000Z,ETH,2080.0600,LONG,2164.6500,1839.9525,10143.81,143.81,0.00,HOLD,,0.00
2026-04-07T16:00:00.000Z,BTC,68229.9900,LONG,69968.8700,59473.5395,10192.71,192.71,0.00,HOLD,,0.00
2026-04-07T16:00:00.000Z,ETH,2083.7600,LONG,2164.6500,1839.9525,10161.86,161.86,0.00,HOLD,,0.00
2026-04-07T17:00:00.000Z,BTC,68705.8100,LONG,69968.8700,59473.5395,10263.79,263.79,0.00,HOLD,,0.00
2026-04-07T17:00:00.000Z,ETH,2099.5000,LONG,2164.6500,1839.9525,10238.62,238.62,0.00,HOLD,,0.00
2026-04-07T18:00:00.000Z,BTC,68442.5300,LONG,69968.8700,59473.5395,10224.46,224.46,0.00,HOLD,,0.00
2026-04-07T18:00:00.000Z,ETH,2086.3000,LONG,2164.6500,1839.9525,10174.24,174.24,0.00,HOLD,,0.00
2026-04-07T19:00:00.000Z,BTC,69011.2900,LONG,69968.8700,59473.5395,10309.42,309.42,0.00,HOLD,,0.00
2026-04-07T19:00:00.000Z,ETH,2113.3900,LONG,2164.6500,1839.9525,10306.35,306.35,0.00,HOLD,,0.00
2026-04-07T20:00:00.000Z,BTC,69319.3900,LONG,69968.8700,59473.5395,10355.45,355.45,0.00,HOLD,,0.00
2026-04-07T20:00:00.000Z,ETH,2115.5300,LONG,2164.6500,1839.9525,10316.79,316.79,0.00,HOLD,,0.00
2026-04-07T21:00:00.000Z,BTC,69927.6400,LONG,69968.8700,59473.5395,10446.32,446.32,0.00,HOLD,,0.00
2026-04-07T21:00:00.000Z,ETH,2145.0400,LONG,2164.6500,1839.9525,10460.70,460.70,0.00,HOLD,,0.00
2026-04-07T22:00:00.000Z,BTC,71514.0900,LONG,71514.0900,60786.9765,10683.31,683.31,0.00,HOLD,,0.00
2026-04-07T22:00:00.000Z,ETH,2219.7700,LONG,2219.7700,1886.8045,10825.14,825.14,0.00,HOLD,,0.00
2026-04-07T23:00:00.000Z,BTC,71924.2200,LONG,71924.2200,61135.5870,10744.58,744.58,0.00,HOLD,,0.00
2026-04-07T23:00:00.000Z,ETH,2240.0100,LONG,2240.0100,1904.0085,10923.84,923.84,0.00,HOLD,,0.00
2026-04-08T00:00:00.000Z,BTC,71710.1900,LONG,71924.2200,61135.5870,10712.61,712.61,0.00,HOLD,,0.00
2026-04-08T00:00:00.000Z,ETH,2236.0800,LONG,2240.0100,1904.0085,10904.68,904.68,0.00,HOLD,,0.00
2026-04-08T01:00:00.000Z,BTC,71476.9700,LONG,71924.2200,61135.5870,10677.77,677.77,0.00,HOLD,,0.00
2026-04-08T01:00:00.000Z,ETH,2234.0600,LONG,2240.0100,1904.0085,10894.82,894.82,0.00,HOLD,,0.00
2026-04-08T02:00:00.000Z,BTC,71364.9400,LONG,71924.2200,61135.5870,10661.03,661.03,0.00,HOLD,,0.00
2026-04-08T02:00:00.000Z,ETH,2237.2800,LONG,2240.0100,1904.0085,10910.53,910.53,0.00,HOLD,,0.00
2026-04-08T03:00:00.000Z,BTC,71287.3900,LONG,71924.2200,61135.5870,10649.45,649.45,0.00,HOLD,,0.00
2026-04-08T03:00:00.000Z,ETH,2234.6800,LONG,2240.0100,1904.0085,10897.85,897.85,0.00,HOLD,,0.00
2026-04-08T04:00:00.000Z,BTC,71566.1800,LONG,71924.2200,61135.5870,10691.09,691.09,0.00,HOLD,,0.00
2026-04-08T04:00:00.000Z,ETH,2240.7700,LONG,2240.7700,1904.6545,10927.55,927.55,0.00,HOLD,,0.00
2026-04-08T05:00:00.000Z,BTC,71731.1000,LONG,71924.2200,61135.5870,10715.73,715.73,0.00,HOLD,,0.00
2026-04-08T05:00:00.000Z,ETH,2240.7000,LONG,2240.7700,1904.6545,10927.21,927.21,0.00,HOLD,,0.00
2026-04-08T06:00:00.000Z,BTC,71732.6900,LONG,71924.2200,61135.5870,10715.97,715.97,0.00,HOLD,,0.00
2026-04-08T06:00:00.000Z,ETH,2246.0100,LONG,2246.0100,1909.1085,10953.10,953.10,0.00,HOLD,,0.00
2026-04-08T07:00:00.000Z,BTC,71627.5900,LONG,71924.2200,61135.5870,10700.27,700.27,0.00,HOLD,,0.00
2026-04-08T07:00:00.000Z,ETH,2253.7600,LONG,2253.7600,1915.6960,10990.90,990.90,0.00,HOLD,,0.00
2026-04-08T08:00:00.000Z,BTC,71800.0000,LONG,71924.2200,61135.5870,10726.02,726.02,0.00,HOLD,,0.00
2026-04-08T08:00:00.000Z,ETH,2256.4800,LONG,2256.4800,1918.0080,11004.16,1004.16,0.00,HOLD,,0.00
2026-04-08T09:00:00.000Z,BTC,71678.8700,LONG,71924.2200,61135.5870,10707.93,707.93,0.00,HOLD,,0.00
2026-04-08T09:00:00.000Z,ETH,2249.5900,LONG,2256.4800,1918.0080,10970.56,970.56,0.00,HOLD,,0.00
